Date,Price,Open,High,Low,Vol.,Change %
12/29/2023,73.55,73.55,73.71,73.48,6.94M,-0.24%
12/28/2023,73.72,73.81,73.89,73.64,8.17M,-0.24%
12/27/2023,73.90,73.70,73.92,73.64,7.47M,0.64%
12/26/2023,73.43,73.35,73.48,73.32,6.39M,0.10%
12/22/2023,73.36,73.53,73.54,73.28,5.89M,-0.35%
12/21/2023,73.62,73.78,73.82,73.51,6.91M,-0.01%
12/20/2023,73.63,73.51,73.67,73.4,7.50M,0.33%
12/19/2023,73.39,73.36,73.47,73.34,6.92M,0.19%
12/18/2023,73.25,73.30,73.31,73.2,6.14M,-0.20%
12/15/2023,73.40,73.40,73.53,73.31,8.00M,-0.15%
12/14/2023,73.51,73.36,73.63,73.3,9.11M,0.75%
12/13/2023,72.96,72.21,73.01,72.17,7.17M,1.28%
12/12/2023,72.04,71.87,72.06,71.79,8.05M,0.29%
12/11/2023,71.83,71.79,71.88,71.61,12.90M,0.02%
12/08/2023,71.82,71.87,71.95,71.71,7.35M,-0.48%
12/07/2023,72.17,72.11,72.36,72.1,9.88M,-0.03%
12/06/2023,72.19,72.15,72.31,72.05,9.37M,0.29%
12/05/2023,71.98,71.83,72.04,71.75,8.39M,0.64%
12/04/2023,71.52,71.57,71.67,71.41,11.16M,-0.40%
12/01/2023,71.81,71.22,71.84,71.2,7.64M,0.53%
11/30/2023,71.43,71.51,71.52,71.3,9.88M,-0.32%
11/29/2023,71.66,71.55,71.70,71.46,7.62M,0.52%
11/28/2023,71.29,70.95,71.31,70.9,7.05M,0.42%
11/27/2023,70.99,70.75,70.99,70.7,5.26M,0.61%
11/24/2023,70.56,70.65,70.70,70.55,3.53M,-0.48%
11/22/2023,70.90,70.98,71.03,70.74,4.95M,0.08%
11/21/2023,70.84,70.81,70.88,70.67,5.74M,0.14%
11/20/2023,70.74,70.58,70.77,70.51,6.96M,0.14%
11/17/2023,70.64,70.61,70.70,70.48,5.66M,0.14%
11/16/2023,70.54,70.41,70.61,70.41,5.62M,0.60%
11/15/2023,70.12,70.22,70.24,70.03,6.79M,-0.55%
11/14/2023,70.51,70.49,70.57,70.39,8.24M,1.22%
11/13/2023,69.66,69.42,69.68,69.36,6.06M,-0.03%
11/10/2023,69.68,69.86,69.87,69.62,4.38M,0.19%
11/09/2023,69.55,70.00,70.04,69.52,6.98M,-0.74%
11/08/2023,70.07,69.88,70.15,69.87,6.54M,0.31%
11/07/2023,69.85,69.68,69.99,69.65,7.99M,0.50%
11/06/2023,69.50,69.63,69.67,69.44,7.82M,-0.43%
11/03/2023,69.80,70.03,70.17,69.79,8.00M,0.60%
11/02/2023,69.39,69.43,69.50,69.22,8.41M,0.57%
11/01/2023,68.99,68.48,69.00,68.45,9.33M,0.67%
