Date,Price,Open,High,Low,Vol.,Change %
12/30/2022,10939.76,10835.59,10942.90,10778.64,224.60M,-0.10%
12/29/2022,10951.05,10800.80,10981.06,10776.62,229.87M,2.54%
12/28/2022,10679.34,10807.12,10898.64,10671.19,211.42M,-1.32%
12/27/2022,10822.51,10944.30,10957.44,10807.61,220.91M,-1.48%
12/23/2022,10985.45,10911.04,11007.09,10830.90,191.78M,0.27%
12/22/2022,10956.14,11099.36,11114.23,10784.01,305.75M,-2.49%
12/21/2022,11235.88,11110.65,11285.77,11083.36,238.18M,1.48%
12/20/2022,11072.42,11023.47,11143.62,10967.07,264.63M,-0.11%
12/19/2022,11084.59,11243.00,11251.57,11029.77,286.39M,-1.42%
12/16/2022,11243.72,11313.64,11383.39,11175.54,861.67M,-0.89%
12/15/2022,11345.22,11573.38,11591.33,11300.35,325.71M,-3.37%
12/14/2022,11740.92,11824.54,11941.28,11617.41,296.00M,-0.79%
12/13/2022,11834.20,12141.24,12166.41,11724.91,349.65M,1.09%
12/12/2022,11706.44,11572.26,11707.71,11529.41,245.83M,1.24%
12/09/2022,11563.33,11594.38,11707.08,11550.31,243.90M,-0.64%
12/08/2022,11637.50,11543.68,11672.14,11470.68,238.47M,1.22%
12/07/2022,11497.39,11490.99,11577.69,11431.96,228.21M,-0.45%
12/06/2022,11549.68,11775.20,11790.93,11488.60,233.86M,-2.01%
12/05/2022,11786.80,11899.54,11957.35,11732.15,229.01M,-1.73%
12/02/2022,11994.26,11845.53,12027.62,11825.53,235.05M,-0.40%
12/01/2022,12041.90,12030.24,12115.34,11928.66,257.49M,0.10%
11/30/2022,12030.06,11505.74,12031.34,11481.89,496.42M,4.58%
11/29/2022,11503.45,11590.30,11613.33,11450.34,197.04M,-0.73%
11/28/2022,11587.75,11684.07,11764.83,11555.26,238.84M,-1.43%
11/25/2022,11756.03,11777.33,11803.91,11748.79,101.46M,-0.70%
11/23/2022,11838.72,11725.08,11866.42,11722.01,180.62M,0.97%
11/22/2022,11724.84,11590.83,11731.76,11503.34,217.73M,1.48%
11/21/2022,11553.45,11623.35,11664.94,11524.44,220.28M,-1.06%
11/18/2022,11677.02,11791.85,11794.68,11579.64,247.58M,0.00%
11/17/2022,11676.86,11521.64,11737.61,11519.38,234.82M,-0.19%
11/16/2022,11699.09,11767.42,11796.99,11673.14,253.72M,-1.45%
11/15/2022,11871.15,12006.45,12024.95,11735.40,291.01M,1.45%
11/14/2022,11700.94,11728.11,11863.82,11669.10,272.45M,-0.98%
11/11/2022,11817.01,11604.36,11840.07,11535.56,318.51M,1.82%
11/10/2022,11605.96,11350.42,11612.20,11235.74,451.83M,7.49%
11/09/2022,10797.55,10971.43,11012.66,10790.35,296.28M,-2.37%
11/08/2022,11059.50,11039.58,11191.90,10897.53,263.38M,0.75%
11/07/2022,10977.00,10900.83,11001.16,10817.59,266.26M,1.10%
11/04/2022,10857.03,10911.99,10934.62,10632.39,352.98M,1.56%
11/03/2022,10690.60,10769.43,10852.18,10680.83,312.83M,-1.98%
11/02/2022,10906.34,11300.27,11410.91,10903.48,342.40M,-3.39%
11/01/2022,11288.95,11571.52,11574.39,11278.28,258.91M,-1.02%
10/31/2022,11405.57,11465.21,11482.99,11331.26,304.15M,-1.22%
10/28/2022,11546.21,11176.99,11563.16,11176.99,355.96M,3.17%
10/27/2022,11191.63,11387.71,11417.04,11179.90,343.35M,-1.88%
10/26/2022,11405.90,11409.79,11657.06,11388.34,330.32M,-2.26%
10/25/2022,11669.99,11482.87,11681.85,11480.41,275.48M,2.10%
10/24/2022,11430.26,11321.11,11468.18,11166.49,280.87M,1.06%
10/21/2022,11310.33,10998.17,11327.77,10962.01,324.07M,2.39%
10/20/2022,11046.71,11081.23,11279.81,11001.28,241.40M,-0.51%
10/19/2022,11103.38,11081.82,11231.46,11008.11,223.79M,-0.40%
10/18/2022,11147.74,11368.76,11374.38,11035.80,246.56M,0.77%
10/17/2022,11062.53,10967.25,11090.87,10959.75,293.32M,3.46%
10/14/2022,10692.06,11130.08,11152.89,10677.48,299.49M,-3.10%
10/13/2022,11033.58,10481.58,11087.66,10440.64,355.13M,2.30%
10/12/2022,10785.61,10810.30,10886.49,10754.85,234.88M,-0.05%
10/11/2022,10791.35,10865.32,10981.91,10716.33,285.80M,-1.24%
10/10/2022,10926.97,11048.51,11063.21,10824.25,247.71M,-1.02%
10/07/2022,11039.47,11272.46,11293.65,10991.66,325.37M,-3.88%
10/06/2022,11485.50,11556.40,11660.55,11472.83,224.26M,-0.76%
10/05/2022,11573.18,11429.47,11647.62,11312.52,220.46M,-0.08%
10/04/2022,11582.54,11477.85,11609.25,11462.37,282.89M,3.14%
10/03/2022,11229.73,11059.17,11296.43,10985.01,291.05M,2.36%
09/30/2022,10971.22,11123.11,11296.16,10966.95,332.57M,-1.73%
09/29/2022,11164.78,11334.57,11339.91,11038.94,286.17M,-2.86%
09/28/2022,11493.83,11258.74,11546.87,11210.81,286.31M,1.97%
09/27/2022,11271.75,11411.34,11502.38,11175.29,251.06M,0.16%
09/26/2022,11254.11,11283.14,11473.36,11235.74,258.79M,-0.51%
09/23/2022,11311.24,11398.75,11402.41,11169.66,275.27M,-1.66%
09/22/2022,11501.65,11574.32,11617.99,11448.86,254.51M,-1.17%
09/21/2022,11637.79,11892.72,12062.52,11636.25,263.45M,-1.80%
09/20/2022,11851.54,11855.83,11951.13,11761.69,223.97M,-0.85%
09/19/2022,11953.27,11753.60,11956.79,11752.43,231.53M,0.77%
09/16/2022,11861.38,11775.93,11875.09,11710.25,728.59M,-0.55%
09/15/2022,11927.49,12034.43,12153.34,11867.88,282.27M,-1.71%
09/14/2022,12134.40,12092.03,12170.25,12016.43,273.28M,0.84%
09/13/2022,12033.62,12364.83,12420.01,12004.42,361.85M,-5.54%
09/12/2022,12739.72,12649.23,12752.83,12639.76,226.04M,1.20%
