Date,Price,Open,High,Low,Vol.,Change %
01/01/2020,2.18,2.18,2.18,2.17,,0.97%
12/31/2019,2.16,2.16,2.18,2.13,51.32K,0.05%
12/30/2019,2.16,2.19,2.20,2.16,41.47K,-3.32%
12/27/2019,2.23,2.27,2.28,2.17,223.90K,-2.36%
12/26/2019,2.29,2.21,2.29,2.21,134.83K,2.19%
12/25/2019,2.24,2.21,2.24,2.21,,2.24%
12/24/2019,2.19,2.22,2.23,2.18,83.78K,-1.35%
12/23/2019,2.22,2.25,2.26,2.20,151.67K,-4.03%
12/20/2019,2.31,2.28,2.33,2.27,130.70K,1.99%
12/19/2019,2.27,2.26,2.28,2.22,179.41K,0.04%
12/18/2019,2.26,2.30,2.31,2.24,131.37K,-1.69%
12/17/2019,2.30,2.33,2.34,2.27,98.95K,-0.99%
12/16/2019,2.33,2.28,2.35,2.27,104.15K,1.93%
12/13/2019,2.28,2.33,2.33,2.24,100.44K,-1.64%
12/12/2019,2.32,2.25,2.34,2.24,159.57K,3.43%
12/11/2019,2.24,2.26,2.29,2.24,117.30K,-0.88%
12/10/2019,2.26,2.26,2.28,2.22,142.58K,1.30%
12/09/2019,2.23,2.21,2.26,2.17,170.09K,-3.67%
12/06/2019,2.32,2.39,2.41,2.31,115.36K,-3.29%
12/05/2019,2.40,2.38,2.43,2.37,54.79K,1.01%
12/04/2019,2.37,2.42,2.43,2.34,52.55K,-1.29%
12/03/2019,2.41,2.32,2.47,2.32,94.74K,4.20%
12/02/2019,2.31,2.31,2.34,2.27,53.94K,2.03%
11/29/2019,2.26,2.47,2.48,2.25,50.68K,-8.16%
11/28/2019,2.46,2.50,2.51,2.45,,-0.28%
11/27/2019,2.47,2.50,2.52,2.46,32.13K,-2.49%
11/26/2019,2.53,2.58,2.58,2.50,241.56K,-1.97%
11/25/2019,2.58,2.74,2.74,2.56,271.67K,-4.65%
11/22/2019,2.71,2.64,2.72,2.60,180.12K,3.36%
11/21/2019,2.62,2.61,2.64,2.57,148.36K,0.42%
11/20/2019,2.61,2.58,2.63,2.57,146.97K,1.36%
11/19/2019,2.58,2.61,2.63,2.57,174.76K,-2.05%
11/18/2019,2.63,2.72,2.72,2.60,144.45K,-4.36%
11/15/2019,2.75,2.71,2.79,2.68,109.43K,1.14%
11/14/2019,2.72,2.75,2.78,2.71,124.22K,1.00%
11/13/2019,2.69,2.72,2.76,2.66,136.40K,-0.81%
11/12/2019,2.71,2.73,2.77,2.70,124.98K,-0.51%
11/11/2019,2.73,2.80,2.81,2.71,142.00K,-5.05%
11/08/2019,2.87,2.87,2.91,2.84,105.07K,0.49%
11/07/2019,2.86,2.91,2.95,2.83,149.69K,-1.65%
11/06/2019,2.91,2.95,2.97,2.90,67.43K,-1.12%
11/05/2019,2.94,2.90,2.98,2.90,85.66K,1.45%
11/04/2019,2.90,2.88,2.92,2.86,78.29K,3.43%
11/01/2019,2.80,2.74,2.81,2.68,93.38K,2.56%
10/31/2019,2.73,2.78,2.83,2.71,79.21K,-1.76%
10/30/2019,2.78,2.72,2.81,2.71,69.31K,5.38%
10/29/2019,2.64,2.56,2.70,2.56,307.27K,3.29%
10/28/2019,2.56,2.51,2.59,2.50,248.06K,3.90%
10/25/2019,2.46,2.48,2.48,2.43,97.75K,-0.24%
10/24/2019,2.47,2.42,2.48,2.42,136.03K,1.57%
10/23/2019,2.43,2.44,2.46,2.42,131.58K,-0.90%
10/22/2019,2.45,2.44,2.48,2.44,178.97K,0.33%
10/21/2019,2.44,2.52,2.52,2.41,160.29K,-3.02%
10/18/2019,2.52,2.52,2.55,2.49,98.47K,0.04%
10/17/2019,2.52,2.49,2.54,2.48,106.43K,0.84%
10/16/2019,2.50,2.53,2.56,2.47,102.70K,-1.46%
10/15/2019,2.53,2.50,2.54,2.49,100.87K,1.36%
10/14/2019,2.50,2.47,2.53,2.46,90.64K,1.67%
10/11/2019,2.46,2.41,2.47,2.39,180.15K,1.65%
10/10/2019,2.42,2.44,2.46,2.41,144.01K,-0.78%
10/09/2019,2.44,2.49,2.50,2.43,115.26K,-2.21%
10/08/2019,2.49,2.49,2.53,2.47,99.28K,-0.36%
10/07/2019,2.50,2.51,2.52,2.48,99.90K,-0.95%
10/04/2019,2.52,2.51,2.57,2.45,94.68K,0.96%
10/03/2019,2.50,2.46,2.52,2.40,111.69K,2.00%
10/02/2019,2.45,2.48,2.50,2.45,57.98K,-1.17%
10/01/2019,2.48,2.50,2.51,2.47,110.60K,-0.96%
09/30/2019,2.50,2.54,2.56,2.50,63.90K,-2.38%
09/27/2019,2.57,2.60,2.60,2.54,52.30K,4.99%
09/26/2019,2.44,2.52,2.56,2.41,242.12K,-2.98%
09/25/2019,2.52,2.52,2.54,2.47,167.22K,-0.28%
09/24/2019,2.53,2.56,2.62,2.52,130.62K,-1.17%
09/23/2019,2.56,2.54,2.57,2.51,140.84K,0.00%
09/20/2019,2.56,2.58,2.60,2.53,119.25K,-0.54%
09/19/2019,2.57,2.67,2.67,2.56,178.52K,-3.60%
09/18/2019,2.67,2.70,2.73,2.63,103.90K,-1.30%
09/17/2019,2.70,2.73,2.75,2.67,109.65K,-0.92%
09/16/2019,2.73,2.73,2.74,2.68,144.62K,2.71%
09/13/2019,2.65,2.61,2.68,2.59,129.87K,1.84%
09/12/2019,2.61,2.58,2.62,2.55,142.97K,0.62%
09/11/2019,2.59,2.62,2.64,2.57,137.02K,-1.18%
09/10/2019,2.62,2.64,2.69,2.61,170.21K,-0.19%
09/09/2019,2.63,2.59,2.65,2.55,144.31K,2.90%
09/06/2019,2.55,2.50,2.56,2.46,87.18K,2.41%
09/05/2019,2.49,2.49,2.52,2.44,104.91K,-0.04%
09/04/2019,2.49,2.39,2.50,2.38,102.24K,3.96%
09/03/2019,2.40,2.34,2.40,2.31,88.08K,3.68%
09/02/2019,2.31,2.27,2.34,2.27,,1.63%
09/01/2019,2.28,2.29,2.29,2.27,,-2.11%
08/30/2019,2.32,2.34,2.35,2.31,71.69K,-0.77%
08/29/2019,2.34,2.29,2.36,2.27,72.80K,5.40%
08/28/2019,2.22,2.19,2.27,2.19,184.10K,1.37%
08/27/2019,2.19,2.23,2.24,2.18,157.81K,-1.84%
08/26/2019,2.23,2.17,2.24,2.16,146.40K,3.57%
08/23/2019,2.16,2.15,2.17,2.13,105.55K,-0.32%
08/22/2019,2.16,2.18,2.20,2.15,118.67K,-0.64%
08/21/2019,2.18,2.22,2.24,2.16,174.13K,-1.89%
08/20/2019,2.22,2.20,2.23,2.19,88.65K,0.27%
08/19/2019,2.21,2.17,2.22,2.14,109.21K,0.27%
08/16/2019,2.21,2.23,2.23,2.18,88.82K,-1.34%
08/15/2019,2.24,2.17,2.27,2.15,156.71K,3.85%
08/14/2019,2.15,2.17,2.21,2.13,87.52K,-0.23%
08/13/2019,2.16,2.12,2.18,2.10,136.58K,1.98%
08/12/2019,2.12,2.14,2.17,2.11,114.12K,-0.75%
08/09/2019,2.13,2.14,2.16,2.08,107.73K,-0.61%
08/08/2019,2.15,2.10,2.17,2.10,115.24K,2.24%
08/07/2019,2.10,2.12,2.16,2.09,118.89K,-1.18%
08/06/2019,2.12,2.10,2.15,2.09,70.19K,1.97%
08/05/2019,2.08,2.09,2.12,2.05,73.02K,-2.21%
08/02/2019,2.13,2.18,2.21,2.09,90.55K,-3.71%
08/01/2019,2.21,2.26,2.34,2.18,121.72K,-1.69%
07/31/2019,2.25,2.16,2.29,2.15,83.62K,4.17%
07/30/2019,2.16,2.14,2.17,2.13,37.78K,2.08%
07/29/2019,2.12,2.15,2.16,2.10,157.69K,-1.58%
07/26/2019,2.15,2.22,2.23,2.15,173.50K,-3.46%
07/25/2019,2.23,2.21,2.25,2.21,113.29K,1.14%
07/24/2019,2.20,2.26,2.27,2.19,157.80K,-3.21%
07/23/2019,2.28,2.30,2.31,2.26,108.28K,-0.78%
07/22/2019,2.29,2.22,2.30,2.21,145.49K,2.92%
07/19/2019,2.23,2.27,2.28,2.22,100.39K,-1.55%
07/18/2019,2.26,2.28,2.33,2.24,122.81K,-0.66%
07/17/2019,2.28,2.30,2.32,2.26,85.12K,-0.35%
07/16/2019,2.29,2.37,2.39,2.28,118.68K,-4.19%
07/15/2019,2.39,2.44,2.44,2.36,104.23K,-1.97%
07/12/2019,2.43,2.39,2.46,2.39,126.73K,1.37%
07/11/2019,2.40,2.43,2.47,2.38,126.68K,-1.32%
07/10/2019,2.43,2.42,2.48,2.41,123.37K,0.70%
07/09/2019,2.42,2.38,2.42,2.35,119.58K,1.34%
07/08/2019,2.38,2.43,2.44,2.35,113.54K,-0.21%
07/05/2019,2.39,2.26,2.41,2.24,69.52K,4.55%
07/04/2019,2.29,2.29,2.30,2.26,,0.97%
07/03/2019,2.26,2.22,2.27,2.21,48.24K,2.07%
07/02/2019,2.22,2.24,2.27,2.21,42.30K,-1.12%
07/01/2019,2.24,2.30,2.31,2.19,56.49K,-1.75%
06/28/2019,2.28,2.29,2.34,2.28,58.72K,-0.70%
06/27/2019,2.30,2.25,2.31,2.24,38.89K,1.32%
